OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,CO2_nor,POINT_X,POINT_Y
1,1,80,0.2822596,0.7776507,0.5559497,0.1391304,0.1531960,0.5150542,0.3946154,0.0000000,-1093027.237300933338702,3194914.184984264895320
2,2,80,0.3281005,0.7549420,0.2960379,0.2000000,0.1134504,0.5720398,0.3330577,0.0000000,-1056027.237300931941718,3184914.184984264895320
3,3,80,0.2656115,0.8260088,0.0875773,0.0565217,0.1641461,0.8608553,0.3610074,0.0000000,-899027.237300931476057,3192914.184984263032675
4,4,80,0.2816885,0.8148995,0.4707607,0.0652174,0.1502517,0.8670787,0.3459178,0.0000000,-898027.237300933338702,3192914.184984263032675
5,5,80,0.2873106,0.8098350,0.2319418,0.0521739,0.1445849,0.8646203,0.3394736,0.0000000,-901027.237300931476057,3191914.184984263032675
6,6,20,0.1618965,0.6631269,0.2025047,0.7347826,0.2629136,0.8287805,0.4652142,0.0000000,-894027.237300931476057,3191914.184984263032675
7,7,20,0.1399491,0.6541415,0.3751474,0.5913044,0.2844910,0.8211212,0.4875647,0.0000000,-893027.237300933338702,3190914.184984261170030
8,8,80,0.2382833,0.7712792,0.4242317,0.0130435,0.1888261,0.8415660,0.3862016,0.0000000,-905027.237300933338702,3189914.184984264895320
9,9,80,0.1892325,0.6760333,0.1280881,0.1695652,0.2376193,0.8336351,0.4376207,0.0000000,-897027.237300932407379,3189914.184984264895320
10,10,80,0.2013045,0.7279856,0.1188478,0.0956522,0.2279674,0.8394450,0.4269645,0.0000000,-895027.237300932407379,3189914.184984264895320
11,11,20,0.1407569,0.6231008,0.0961071,0.7608696,0.2875403,0.8234056,0.4895820,0.0000000,-889027.237300931476057,3189914.184984264895320
12,12,80,0.2855866,0.8049338,0.3508609,0.0043478,0.1496295,0.8598899,0.3426889,0.0000000,-901027.237300931476057,3188914.184984264895320
13,13,80,0.1925806,0.7020095,0.2532948,0.3086957,0.2376361,0.8361321,0.4364907,0.0000000,-894027.237300931476057,3188914.184984264895320
14,14,20,0.1596623,0.6490769,0.3060707,0.7652174,0.2704070,0.8266111,0.4706250,0.0000000,-891027.237300931476057,3188914.184984264895320
15,15,20,0.1807617,0.6884496,0.2115339,0.5739130,0.2520517,0.8343638,0.4507328,0.0000000,-890027.237300932407379,3188914.184984264895320
16,16,80,0.1727257,0.6598595,0.0439277,0.5739130,0.2599497,0.8325511,0.4591086,0.0000000,-889027.237300931476057,3188914.184984264895320
17,17,80,0.2068807,0.6998857,0.1527740,0.7086957,0.2297388,0.8415813,0.4259438,0.0000000,-890027.237300932407379,3187914.184984263032675
18,18,80,0.1875809,0.6894298,0.3362935,0.2782609,0.2477863,0.8360834,0.4452451,0.0000000,-889027.237300931476057,3187914.184984263032675
19,19,20,0.2375168,0.7511845,0.5132220,0.1000000,0.2033664,0.8502738,0.3967835,0.0000000,-890027.237300932407379,3186914.184984263032675
20,20,20,0.1761590,0.6979252,0.3303258,0.3913044,0.2593049,0.8309999,0.4568793,0.0000000,-889027.237300931476057,3186914.184984263032675
21,21,20,0.2213698,0.7232478,0.2851987,0.0956522,0.2184895,0.8427760,0.4124370,0.0000000,-891027.237300931476057,3185914.184984266757965
22,22,10,0.1529153,0.6319229,0.0617305,0.7391304,0.2828334,0.8236588,0.4811770,0.0000000,-887027.237300931476057,3185914.184984266757965
23,23,20,0.1236312,0.5979415,0.0995355,0.7043478,0.3162630,0.8081244,0.5131594,0.0000000,-886027.237300933338702,3180914.184984266757965
24,24,20,0.0878236,0.6085607,0.1349940,0.6478261,0.3532694,0.7960230,0.5510105,0.0000000,-882027.237300931476057,3178914.184984264895320
25,25,20,0.1104206,0.5907531,0.2726492,0.8913043,0.3373657,0.8076609,0.5330176,0.0000000,-876027.237300932407379,3178914.184984264895320
26,26,20,0.0960545,0.5785003,0.3981033,0.7391304,0.3553107,0.8022114,0.5503016,0.0000000,-873027.237300932407379,3176914.184984263032675
27,27,80,0.3013532,0.8018298,0.2331913,0.0521739,0.1908618,0.8917463,0.3819771,0.0000000,-818027.237300931476057,3193914.184984264895320
28,28,80,0.2153386,0.7583728,0.4246857,0.0565217,0.2374504,0.8652818,0.4343707,0.0000000,-861027.237300931476057,3191914.184984263032675
29,29,80,0.2903050,0.7854925,0.3467789,0.0695652,0.2065642,0.8848251,0.3965814,0.0000000,-814027.237300932407379,3191914.184984263032675
30,30,80,0.3137744,0.7691554,0.2348522,0.0260870,0.1736961,0.8973115,0.3614627,0.0000000,-832027.237300931476057,3190914.184984261170030
31,31,20,0.2377730,0.7487339,0.4807769,0.0782609,0.2237389,0.8717213,0.4174176,0.0000000,-856027.237300931476057,3189914.184984264895320
32,32,80,0.3198584,0.8348309,0.3431921,0.0391304,0.1728244,0.8975955,0.3592099,0.0000000,-828027.237300932407379,3189914.184984264895320
33,33,80,0.3131379,0.8096716,0.4953939,0.0608696,0.1804300,0.8949138,0.3672311,0.0000000,-826027.237300932407379,3189914.184984264895320
34,34,80,0.3000792,0.7812449,0.3270476,0.0608696,0.1929622,0.8903707,0.3806421,0.0000000,-825027.237300931476057,3189914.184984264895320
35,35,80,0.2973736,0.8127757,0.1499050,0.0391304,0.1969176,0.8889084,0.3847398,0.0000000,-823027.237300931476057,3189914.184984264895320
36,36,80,0.2778328,0.8008496,0.4386896,0.0521739,0.2152705,0.8821937,0.4044216,0.0000000,-822027.237300933338702,3189914.184984264895320
37,37,80,0.2162257,0.7010292,0.5382931,0.1391304,0.2802495,0.8560480,0.4734807,0.0000000,-808027.237300931476057,3189914.184984264895320
38,38,80,0.3381124,0.8452867,0.4111217,0.0173913,0.1522718,0.9037587,0.3367417,0.0000000,-835027.237300932407379,3188914.184984264895320
39,39,80,0.3327521,0.8039536,0.2444751,0.0347826,0.1627037,0.9008920,0.3473280,0.0000000,-828027.237300932407379,3188914.184984264895320
40,40,80,0.3031902,0.7663780,0.1410994,0.0347826,0.1901205,0.8909810,0.3767585,0.0000000,-827027.237300931476057,3188914.184984264895320
41,41,80,0.3292314,0.8044437,0.6136335,0.0217391,0.1689870,0.8987454,0.3537433,0.0000000,-824027.237300932407379,3188914.184984264895320
42,42,80,0.3086554,0.7658879,0.1151112,0.0565217,0.1882867,0.8917148,0.3744386,0.0000000,-823027.237300931476057,3188914.184984264895320
43,43,80,0.2437448,0.7214507,0.2873311,0.0652174,0.2482693,0.8698211,0.4388561,0.0000000,-821027.237300932407379,3188914.184984264895320
44,44,80,0.2897195,0.7941513,0.3788475,0.0782609,0.2111716,0.8826452,0.3984566,0.0000000,-815027.237300931476057,3188914.184984264895320
