OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,POINT_X,POINT_Y,Value
1,1,80,0.2822596,0.7776507,0.5559497,0.1391304,0.153196,0.5150542,0.3946154,-1093027.237,3194914.185,1
2,2,80,0.2371251,0.5963078,0.5033005,0.3565218,0.3995364,0.6020109,0.5699176,-679027.2373,3194914.185,1
3,3,80,0.2967721,0.7212874,0.536549,0.3869565,0.3461557,0.6222006,0.5116924,-679027.2373,3193914.185,1
4,4,80,0.3187302,0.7191635,0.485879,0.2869565,0.3276973,0.6311422,0.4895368,-679027.2373,3190914.185,1
5,5,80,0.290956,0.6763601,0.4843751,0.326087,0.3459361,0.633872,0.5100837,-682027.2373,3188914.185,1
6,6,50,0.6714064,0.5984316,0.1210426,0.2478261,0.7040938,0.1146239,0.4771864,-307027.2373,3192914.185,1
7,7,80,0.8294761,0.6990688,0.1671696,0.2652174,0.6984316,0.1690389,0.4027199,-191027.2373,3161914.185,1
8,8,80,0.6505269,0.7497141,0.2806961,0.0652174,0.6430615,0.2838297,0.353931,-164027.2373,3188914.185,1
9,9,80,0.6048284,0.749224,0.3593612,0.0869565,0.7092739,0.2523529,0.4231866,-164027.2373,3184914.185,1
10,10,20,0.6895242,0.6575723,0.4613537,0.3347826,0.7604196,0.1690431,0.4713102,-184027.2373,3169914.185,1
11,11,10,0.4196213,0.6516909,0.3132678,0.1565217,0.7646393,0.3347331,0.4884743,-127027.2373,3192914.185,1
12,12,10,0.6124502,0.7835321,0.3528278,0.0652174,0.7295288,0.3112549,0.4326361,-122027.2373,3166914.185,1
13,13,10,0.6051844,0.6199967,0.1561474,0.2739131,0.7540541,0.296345,0.4580984,-123027.2373,3164914.185,1
14,14,10,0.6355504,0.6258781,0.0439277,0.2652174,0.723204,0.3102864,0.4246252,-122027.2373,3164914.185,1
15,15,20,0.6831249,0.5967979,0.313746,0.3391304,0.7588651,0.2974412,0.4529242,-115027.2373,3151914.185,1
16,16,20,0.2133655,0.7065839,0.6226422,0.2869565,0.177615,0.54737,0.4747341,-1272027.237,3214914.185,1
17,17,80,0.2324723,0.811142,0.6159084,0.3173913,0.1592855,0.553317,0.4551129,-1271027.237,3214914.185,1
18,18,80,0.2326863,0.8126123,0.5904253,0.3826087,0.158007,0.553064,0.4538463,-1270027.237,3214914.185,1
19,19,80,0.2529134,0.7288025,0.6940006,0.2695652,0.1387306,0.5593598,0.4331975,-1269027.237,3214914.185,1
20,20,80,0.2629531,0.7274955,0.7121222,0.5,0.1368246,0.5628303,0.4299308,-1274027.237,3213914.185,1
21,21,20,0.1978331,0.597288,0.5911685,0.3652174,0.1951502,0.5378003,0.4917697,-1271027.237,3211914.185,1
22,22,20,0.1533872,0.6628002,0.6189168,0.2782609,0.2165941,0.5081825,0.5153252,-1239027.237,3211914.185,1
23,23,20,0.1619248,0.6972717,0.3376814,0.4521739,0.2086903,0.5104406,0.5067812,-1238027.237,3211914.185,1
24,24,80,0.1955876,0.6315961,0.568868,0.3,0.1935896,0.5339651,0.4898933,-1266027.237,3210914.185,1
25,25,80,0.2856588,0.7082176,0.533799,0.3608696,0.3091345,0.6744123,0.4925235,-697027.2373,3202914.185,1
26,26,80,0.4733843,0.7686653,0.2365494,0.2391304,0.2777874,0.5347153,0.4526779,-663027.2373,3255914.185,1
27,27,20,0.4881606,0.7436693,0.3464921,0.2695652,0.2986808,0.4750922,0.4516165,-641027.2373,3255914.185,1
28,28,80,0.5205927,0.7796112,0.461161,0.226087,0.290137,0.4472275,0.4272153,-628027.2373,3255914.185,1
29,29,80,0.5113102,0.8608071,0.5027208,0.0391304,0.2521692,0.5300881,0.4182447,-657027.2373,3254914.185,1
30,30,80,0.4835141,0.7655612,0.5209724,0.073913,0.2788788,0.5178691,0.4458933,-656027.2373,3254914.185,1
31,31,80,0.5233027,0.7982356,0.5690668,0.1608696,0.2529509,0.512376,0.41125,-650027.2373,3254914.185,1
32,32,80,0.49606,0.7340304,0.4653129,0.1869565,0.2872784,0.4851477,0.4413717,-643027.2373,3254914.185,1
33,33,80,0.5144786,0.8072211,0.629966,0.0434783,0.2495979,0.5296456,0.41409,-656027.2373,3253914.185,1
34,34,80,0.4925625,0.7766705,0.5424876,0.1565217,0.2710314,0.5193439,0.4360546,-655027.2373,3253914.185,1
35,35,80,0.4894322,0.8137559,0.5211132,0.0304348,0.2888687,0.490528,0.4450988,-645027.2373,3253914.185,1
